name,accepted,method,C,E,S,L,accept_proof_ok,summary_match,forms_ok,symbolic_E_zero_ok,float_probe_within_tol
I.10.7,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.11.19,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.12.1,True,symbolic,3,0.0,0.5,0.39999999999999997,True,True,True,True,
I.12.11,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.12.2,True,symbolic,18,0.0,0.5,0.39999999999999997,True,True,True,True,
I.12.4,True,symbolic,16,0.0,0.5,0.39999999999999997,True,True,True,True,
I.12.5,True,symbolic,3,0.0,0.5,0.39999999999999997,True,True,True,True,
I.13.12,False,reject,1,1.0,0.5,0.39999999999999997,True,True,True,,
I.13.4,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.14.3,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.14.4,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.15.1,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.15.3t,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.15.3x,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.16.6,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.18.12,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.18.14,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.18.4,True,symbolic,13,0.0,0.5,0.39999999999999997,True,True,True,True,
I.24.6,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.25.13,False,reject,26,1.0,0.5,0.39999999999999997,True,True,True,,
I.26.2,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.27.6,False,reject,3,1.0,0.5,0.39999999999999997,True,True,True,,
I.29.16,True,symbolic,24,0.0,0.5,0.39999999999999997,True,True,True,True,
I.29.4,False,reject,26,1.0,0.5,0.39999999999999997,True,True,True,,
I.30.3,True,symbolic,23,0.0,0.5,0.39999999999999997,True,True,True,True,
I.30.5,False,reject,0,1.0,1e-15,0.0,True,True,True,,
I.32.17,False,reject,0,1.0,1e-15,0.0,True,True,True,,
